Отметка времени;Как к вам стоит обращаться?;Укажите вашу специальность;В каком формате ваше обучение проходит сейчас?;Какая форма наиболее предпочтительна вам?;Почему?;Сколько в среднем часов в день вы тратите на учебу, не считая посещения пар?;Сколько дней в неделю вы не высыпаетесь из-за учебы?;Насколько вы довольны своим общением в однокурсниками?;Насколько вы довольны своим общением в преподавателями?;Насколько вы довольны своей успеваемостью по учебе?;Насколько вам хватает времени и сил на учебу?;Оцените насколько по вашему мнению учеба влияет на ваш уровень стресса?;Test1
20.04.2021 21:25:21;;Техническая;Очно в вузе;Очно в вузе;;Менее часа;0;1;1;1;1;1;37.0
20.04.2021 21:26:29;;Экономическая;Дистанционно;Дистанционно;;Менее часа;3;3;2;3;3;3;111.0
20.04.2021 21:32:26;;Техническая;Смешанный формат;Смешанный формат;Патамута;Менее часа;2;4;3;3;2;3;85.5
20.04.2021 21:36:33;Биг Блэк Дик;Техническая;Дистанционно;Дистанционно;;1-3 часа;3;3;3;3;3;3;113.0
20.04.2021 22:01:49;киса;Техническая;Смешанный формат;Смешанный формат;это удобно, экономит время, даёт знания;1-3 часа;3;4;5;4;3;3;98.5
20.04.2021 22:23:36;*свист*;Техническая;Дистанционно;Дистанционно;Больше возможностей учится лучше, чем позволяют умственные способности. Можно работать;Менее часа;3;3;4;2;3;5;50.0
20.04.2021 22:27:35;Настя;Техническая;Очно в вузе;Очно в вузе;Потому что личное общение;3-6 часов;6;4;3;4;2;1;136.0
20.04.2021 22:28:58;;Техническая;Смешанный формат;Смешанный формат;;Менее часа;0;4;4;5;5;3;45.0
20.04.2021 22:29:53;;Техническая;Смешанный формат;Очно в вузе;;Более 6 часов;3;4;4;4;2;5;79.0
20.04.2021 22:30:49;;Техническая;Смешанный формат;Смешанный формат;Лекционный материал присылается в электронном формате,легче воспринимать и учить. ;1-3 часа;3;4;3;4;3;4;93.0
20.04.2021 22:30:56;Виктория;Техническая;Смешанный формат;Смешанный формат;Больше свободного времени ;1-3 часа;6;4;3;3;2;5;134.0
20.04.2021 22:32:09;;Техническая;Смешанный формат;Дистанционно;Не нужно общаться очно с преподавателями, которые нагнетяют нервные мысли своими суровыми взглядами;Более 6 часов;5;5;1;3;2;5;152.0
20.04.2021 22:32:50;Пажылой МЭИшник;Техническая;Смешанный формат;Дистанционно;Эта вечеринка отстой, я ненавижу этих людей;Более 6 часов;7;4;2;3;2;5;185.0
20.04.2021 22:34:05;Александра;Техническая;Очно в вузе;Смешанный формат;Многие дисциплины отлично поддаются переносу в дистанционный формат, что экономит силы и время;1-3 часа;3;4;4;3;3;3;120.5
20.04.2021 22:34:26;Влада;Техническая;Смешанный формат;Смешанный формат;;1-3 часа;0;3;4;5;5;3;50.5
20.04.2021 22:35:12;Ренат;Техническая;Смешанный формат;Очно в вузе;восприятие материала лучше;3-6 часов;2;3;5;5;3;3;64.5
20.04.2021 22:35:59;Кирилл;Техническая;Смешанный формат;Дистанционно;В разы удобнее распределить дела;Более 6 часов;4;5;5;4;5;4;78.5
20.04.2021 22:37:14;Анна;Техническая;Смешанный формат;Смешанный формат;Нравится чередование дней, когда нужно ходить в вуз, и дней, когда можно заниматься своими делами;1-3 часа;4;3;3;2;1;5;141.0
20.04.2021 22:39:10;Господин;Техническая;Дистанционно;Очно в вузе;123;1-3 часа;2;2;3;2;3;3;69.0
20.04.2021 22:42:15;Леонид;Техническая;Очно в вузе;Дистанционно;Не трачу время на дорогу, удобно из дома, не везу с собой ноутбук;3-6 часов;5;4;1;5;2;5;118.5
20.04.2021 22:44:19;;Техническая;Смешанный формат;Дистанционно;Не нужно тратить время на дорогу и можно пересматривать занятия;1-3 часа;0;5;5;5;5;3;47.0
20.04.2021 22:44:26;Евгений;Техническая;Смешанный формат;Смешанный формат;Так удобнее;Более 6 часов;5;3;4;3;2;4;121.0
20.04.2021 22:44:59;Руслан ;Техническая;Очно в вузе;Смешанный формат;Не нужно тратить время на дорогу, поиском еды, при этом остается связь с "внешним миром";3-6 часов;6;5;4;4;3;5;84.0
20.04.2021 22:47:49;;Техническая;Смешанный формат;Очно в вузе;;1-3 часа;5;5;5;4;3;5;85.0
20.04.2021 22:48:23;Анастасия ;Техническая;Смешанный формат;Смешанный формат;Удобнее слушать лекции дистанционно, лабораторные-очно;1-3 часа;3;5;3;4;3;2;54.0
20.04.2021 23:04:39;Porohovnik;Техническая;Смешанный формат;Очно в вузе;Когда встаёшл то в 7 до в 9 то в 10 организм не может привыкнуть, а когда всегда в одно время организму от этого намного приятнее;3-6 часов;3;5;4;4;4;4;91.5
20.04.2021 23:13:33;;Техническая;Смешанный формат;Смешанный формат;;Более 6 часов;3;4;2;3;1;5;152.5
20.04.2021 23:14:03;Алексей;Техническая;Смешанный формат;Очно в вузе;Не терплю профанаций;3-6 часов;4;1;4;3;2;5;84.0
20.04.2021 23:14:11;Саша;Техническая;Смешанный формат;Смешанный формат;Появляется возможность более продуктивно проводить время. ;3-6 часов;2;2;2;4;5;1;47.5
20.04.2021 23:14:28;;Техническая;Смешанный формат;Дистанционно;очень долго ехать от дома до института ;Более 6 часов;3;5;4;1;2;5;126.0
20.04.2021 23:21:31;;Техническая;Дистанционно;Очно в вузе;;Более 6 часов;6;4;2;3;2;5;130.5
20.04.2021 23:21:53;Саша;Техническая;Смешанный формат;Смешанный формат;Появляется возможность более продуктивно проводить время. ;3-6 часов;2;2;2;4;5;1;47.5
20.04.2021 23:48:51;Максимус;Техническая;Смешанный формат;Очно в вузе;Не хватает общения дистанционно;Более 6 часов;3;4;3;4;4;3;103.0
20.04.2021 23:55:31;Юрий;Техническая;Смешанный формат;Смешанный формат;Не нужно ходить в университет на пары, которые без потерь можно провести дистанционно, можно работать);Менее часа;7;3;5;3;3;2;112.0
